okres,year,total_voters,total_populist,business_total,private,private_foreign,private_foreign_intl,pop_density,age_dep_ratio,pop_tot,foreign_prop,uni_prop,relig,prop_agro,prop_manuf,prop_prof,tot_land,agro_land,agro_prop_land,foreign_biz_prop,turnout,total_pop,slovak,hungarian,ukrainian,czech,german,polish,austrian
Ilava,2010,29794,0.5890783379203867,1237,1232,97,42,169.27,17.44,60593,0.03447592956282075,0.17707916746361566,0.8634157614975734,0.03797670336684219,0.19339396840593587,0.10483484921014839,358500839,129265856,0.36057337093149733,0.07841552142279709,0.49170696285049426,60593,58504,82,27,811,57,32,9
Ilava,2012,30731,0.7198919657674661,1352,1347,111,34,168.87,17.72,60493,0.09672193476931212,0.17707916746361566,0.8634157614975734,0.03797670336684219,0.19339396840593587,0.10483484921014839,358500839,128924852,0.35962217650486444,0.08210059171597633,0.508009191146083,60493,54642,58,18,482,25,25,2
Ilava,2016,30586,0.3934806774341202,1720,1714,116,31,166.92,18.9,59727,0.08729720227033,0.17707916746361566,0.8634157614975734,0.03797670336684219,0.19339396840593587,0.10483484921014839,358500851,128134124,0.357416512799296,0.06744186046511629,0.5120967066820701,59727,54513,74,21,510,28,40,6
Kežmarok,2002,26771,0.41552426132755593,269,261,10,17,76.03,40.71,64007,0.113112628306279,0.10689460071128354,0.9551832252755827,0.07363291824580401,0.12425554953979426,0.08012994044396318,839457458,334479761,0.39844754229344165,0.03717472118959108,0.41825112878278936,64007,56767,50,64,263,130,112,1
Kežmarok,2010,24166,0.42299097906149136,636,632,39,24,81.7,34.64,68928,0.14268512070566386,0.10689460071128354,0.9551832252755827,0.07363291824580401,0.12425554953979426,0.08012994044396318,839330473,330922794,0.3942699623632038,0.06132075471698113,0.3505977251624884,68928,59093,50,89,324,148,165,8
Kežmarok,2012,25551,0.5720324057766819,736,729,52,27,112.88,35.59,71389,0.20622224712490722,0.10689460071128354,0.9551832252755827,0.07363291824580401,0.12425554953979426,0.08012994044396318,629997422,323324971,0.5132163397963873,0.07065217391304347,0.35791228340500636,71389,56667,50,66,184,107,142,4
Kežmarok,2016,26813,0.3745571178159848,993,983,51,23,116.57,35.35,73756,0.18856770974564785,0.10689460071128354,0.9551832252755827,0.07363291824580401,0.12425554953979426,0.08012994044396318,629923972,317897225,0.5046596718500499,0.0513595166163142,0.3635365258419654,73756,59848,58,75,237,118,179,9
Komárno,2002,58722,0.1310071182861619,910,892,83,104,98.14,21.9,107783,0.7240195578152399,0.12480541252544605,0.8510120678878792,0.029478332873309414,0.09737786364890974,0.14921335909467293,1100270416,866091925,0.7871627850802816,0.0912087912087912,0.5448169006244027,107783,29746,74508,35,703,31,28,2
Komárno,2010,51441,0.1093291343480881,3204,3184,1335,172,96.8,18.2,106414,0.729997932602853,0.12480541252544605,0.8510120678878792,0.029478332873309414,0.09737786364890974,0.14921335909467293,1100142792,864610469,0.7859074979059627,0.4166666666666667,0.4834044392655102,106414,28732,73821,39,747,56,35,21
Komárno,2012,44748,0.16463305622597657,4303,4288,2106,200,94.52,18.13,103973,0.7193213622767449,0.12480541252544605,0.8510120678878792,0.029478332873309414,0.09737786364890974,0.14921335909467293,1100138805,865728867,0.7869269432778531,0.48942598187311176,0.43038096428880573,103973,29183,66551,32,535,43,35,2
Komárno,2016,41357,0.12462219213192446,5208,5198,2242,178,93.43,18.36,102599,0.7161375841869804,0.12480541252544605,0.8510120678878792,0.029478332873309414,0.09737786364890974,0.14921335909467293,1100133357,861590332,0.7831689917570602,0.4304915514592934,0.40309359740348344,102599,29124,66138,52,568,71,49,17
Košice - okolie,2002,52444,0.36292044847837696,504,497,29,37,70.37,32.18,108431,0.20477538711254162,0.12635700302544936,0.945356337071301,0.09383611312545323,0.12545322697606962,0.0990572878897752,1533413656,765425166,0.4991641772622899,0.057539682539682536,0.48366242126329184,108431,86227,14114,91,349,662,27,1
Košice - okolie,2010,49935,0.36303194152398116,1090,1084,93,52,75.17,28.22,116322,0.19347157029624662,0.12635700302544936,0.945356337071301,0.09383611312545323,0.12545322697606962,0.0990572878897752,1541329223,761259192,0.49389785169861794,0.0853211009174312,0.42928250889771497,116322,93817,14037,129,440,655,45,3
Košice - okolie,2012,48144,0.5091600199401795,1328,1323,125,55,78.57,29.07,121187,0.25583602201556277,0.12635700302544936,0.945356337071301,0.09383611312545323,0.12545322697606962,0.0990572878897752,1534607277,755898195,0.49256784216330807,0.09412650602409639,0.3972703342767789,121187,90183,11844,98,354,476,53,4
Košice - okolie,2016,50957,0.3305924603096729,1841,1838,114,47,81.29,28.9,126001,0.2349743256005905,0.12635700302544936,0.945356337071301,0.09383611312545323,0.12545322697606962,0.0990572878897752,1541304209,753911990,0.48913899384543885,0.061922868006518195,0.4044174252585297,126001,96394,11590,132,456,508,83,10
Košice I,2002,36417,0.34860092813795757,1958,1949,122,167,793.46,28.85,68295,0.11934987920052709,0.32190473209814724,0.8211547168709012,0.008736630308164779,0.07036958593667267,0.16705496134702955,86078860,15218467,0.17679680005055828,0.06230847803881512,0.5332308368108939,68295,60144,2949,422,851,167,33,3
Košice I,2010,30975,0.2853591606133979,3793,3785,365,200,787.91,20.06,67185,0.12790057304457836,0.32190473209814724,0.8211547168709012,0.008736630308164779,0.07036958593667267,0.16705496134702955,85428190,15179179,0.17768349066040146,0.09622989717901398,0.46104041080598346,67185,58592,2945,494,824,196,59,4
Košice I,2012,31147,0.45169679262850354,4261,4251,459,196,799.73,19.22,68220,0.2821899736147757,0.32190473209814724,0.8211547168709012,0.008736630308164779,0.07036958593667267,0.16705496134702955,85464691,15205342,0.17791373047847328,0.10772119220840179,0.45656698915274113,68220,48969,2042,309,492,115,36,2
Košice I,2016,32082,0.34630010597843025,5075,5067,468,184,793.87,18.72,67950,0.2639293598233996,0.32190473209814724,0.8211547168709012,0.008736630308164779,0.07036958593667267,0.16705496134702955,85458857,15078732,0.1764443444405066,0.09221674876847291,0.4721412803532009,67950,50016,2191,407,557,221,96,13
Košice II,2002,40590,0.3941611234294161,930,929,73,60,999.51,24.68,79711,0.11698510870519752,0.2517650631373839,0.8333252697276115,0.009279424296941577,0.08076886658460374,0.1452513966480447,79916873,38657432,0.4837205279540905,0.07849462365591398,0.5092145375167794,79711,70386,2519,302,1046,113,47,1
Košice II,2010,35080,0.33112884834663625,1990,1986,198,105,1094.72,21.25,80835,0.12285519886187912,0.2517650631373839,0.8333252697276115,0.009279424296941577,0.08076886658460374,0.1452513966480447,73870891,36662595,0.4963063867741896,0.09949748743718594,0.4339704335993072,80835,70904,2522,344,1010,144,73,8
Košice II,2012,35036,0.5071926018951936,2325,2321,228,104,1028.1,21.02,82761,0.28262104131172894,0.2517650631373839,0.8333252697276115,0.009279424296941577,0.08076886658460374,0.1452513966480447,80533213,38689834,0.4804208420195529,0.09806451612903226,0.4233394956561666,82761,59371,1929,210,572,98,54,3
Košice II,2016,36257,0.3602063049893814,2797,2795,166,92,1114.8,21.43,82225,0.2661842505320766,0.2517650631373839,0.8333252697276115,0.009279424296941577,0.08076886658460374,0.1452513966480447,73843776,36444761,0.4935386971543817,0.059349302824454775,0.4409486166007905,82225,60338,2031,262,624,215,191,14
Košice III,2002,16313,0.41610985103904863,196,196,15,14,1821.53,17.85,30543,0.08679566512785253,0.23420713364847442,0.840189030883919,0.014604150653343582,0.08916218293620293,0.13758647194465795,16790232,3905236,0.23258975814032826,0.07653061224489796,0.5340994663261631,30543,27892,940,149,253,35,16,1
Košice III,2010,12587,0.361325176769683,483,483,22,21,1761.35,17.76,29602,0.08965610431727589,0.23420713364847442,0.840189030883919,0.014604150653343582,0.08916218293620293,0.13758647194465795,16855788,3838147,0.22770498774664227,0.045548654244306416,0.425207756232687,29602,26948,907,177,247,33,19,1
Košice III,2012,12782,0.5424816147707714,547,547,33,16,1773.81,18.21,29778,0.1826180401638794,0.23420713364847442,0.840189030883919,0.014604150653343582,0.08916218293620293,0.13758647194465795,16851312,3824678,0.2269661851848687,0.0603290676416819,0.4292430653502586,29778,24340,677,112,143,40,16,0
Košice III,2016,13102,0.37498091894367275,723,723,19,20,1729.03,19.51,28979,0.17536837019910967,0.23420713364847442,0.840189030883919,0.014604150653343582,0.08916218293620293,0.13758647194465795,16831671,3789556,0.225144372177902,0.02627939142461964,0.4521205010524863,28979,23897,703,139,157,43,29,0
Košice IV,2002,32360,0.37095179233621756,1249,1245,112,102,948.9,19.96,56960,0.10014044943820222,0.24950526538978018,0.846696600384862,0.009029640777334293,0.08296800366420205,0.1287705293463325,59982104,34530573,0.5756812565294476,0.08967173738991192,0.5681179775280899,56960,51256,2466,205,609,80,28,1
Košice IV,2010,25855,0.35335525043511895,2691,2683,278,146,921.3,20.54,56264,0.104631736101237,0.24950526538978018,0.846696600384862,0.009029640777334293,0.08296800366420205,0.1287705293463325,60892536,34783339,0.5712250020265209,0.10330732069862504,0.4595300725152851,56264,50377,2435,233,621,94,50,2
Košice IV,2012,26253,0.5147221269950101,3108,3100,321,138,975.27,21.1,59405,0.25156131638750945,0.24950526538978018,0.846696600384862,0.009029640777334293,0.08296800366420205,0.1287705293463325,60896188,33968371,0.557807838480793,0.10328185328185328,0.44193249726454004,59405,44461,1675,143,375,60,45,2
Košice IV,2016,27344,0.35130193095377416,3948,3940,299,113,983.63,22.21,59987,0.2341674029373031,0.24950526538978018,0.846696600384862,0.009029640777334293,0.08296800366420205,0.1287705293463325,60900272,33688442,0.5531739168586964,0.07573454913880445,0.4558320969543401,59987,45940,1784,216,403,195,69,10
Krupina,2002,12449,0.5295204434091092,173,162,3,4,38.92,28.23,22711,0.03540134736471312,0.12126743424131799,0.9368430235093994,0.17513020833333334,0.14973958333333334,0.07291666666666667,584899600,336885039,0.5759707118965375,0.017341040462427744,0.5481484743076043,22711,21907,103,49,74,4,3,0
Krupina,2010,10529,0.5610219394054516,276,266,17,8,38.66,23.08,22607,0.040297253063210525,0.12126743424131799,0.9368430235093994,0.17513020833333334,0.14973958333333334,0.07291666666666667,584899600,335727533,0.5739917295207588,0.06159420289855073,0.465740699783253,22607,21696,105,64,89,11,11,1
Krupina,2012,10603,0.708007167782703,311,304,22,8,39.06,22.11,22779,0.0937705781640985,0.12126743424131799,0.9368430235093994,0.17513020833333334,0.14973958333333334,0.07291666666666667,584899600,335620051,0.5738079680683659,0.0707395498392283,0.46547258439791034,22779,20643,90,43,56,9,10,2
Krupina,2016,10865,0.4230096640589047,412,405,24,11,38.43,21.66,22421,0.08741804558226662,0.12126743424131799,0.9368430235093994,0.17513020833333334,0.14973958333333334,0.07291666666666667,584899600,334452779,0.5718122888099085,0.05825242718446602,0.4845903394139423,22421,20461,96,47,74,13,13,2
Kysucké Nové Mesto,2002,18126,0.588546838795101,235,234,21,10,194.83,27.95,33862,0.03298682889374516,0.1518343847614381,0.9452083583523477,0.0434936350777935,0.11916548797736917,0.08062234794908062,173681016,61319445,0.3530578436966306,0.08936170212765958,0.5352902959069163,33862,32745,11,20,249,2,10,0
Kysucké Nové Mesto,2010,16336,0.7100881488736532,505,504,34,12,196.04,21.79,34014,0.03586758393602629,0.1518343847614381,0.9452083583523477,0.0434936350777935,0.11916548797736917,0.08062234794908062,173681382,61076676,0.35165931602271566,0.06732673267326733,0.4802728288351855,34014,32794,12,28,291,9,22,0
Kysucké Nové Mesto,2012,17472,0.8132440476190477,571,568,39,18,191.66,21.61,33260,0.05607336139506913,0.1518343847614381,0.9452083583523477,0.0434936350777935,0.11916548797736917,0.08062234794908062,173683180,59517110,0.3426763029097003,0.06830122591943957,0.5253156945279616,33260,31395,16,21,183,9,12,4
Kysucké Nové Mesto,2016,17284,0.4228187919463087,786,784,39,20,190.43,21.24,33062,0.05117657733954384,0.1518343847614381,0.9452083583523477,0.0434936350777935,0.11916548797736917,0.08062234794908062,173683180,58832730,0.338735909833065,0.04961832061068702,0.5227753916883431,33062,31370,19,20,215,13,27,2
Levice,2002,66100,0.3627231467473525,813,794,63,53,77.17,23.78,119501,0.3069932469184359,0.1448242508303829,0.8595092184073435,0.07634141288585042,0.13911332090325254,0.12046819970996478,1551140685,1125316942,0.7254770330519698,0.07749077490774908,0.553133446582037,119501,82815,33142,49,902,25,72,0
Levice,2010,55795,0.3248857424500403,1764,1745,286,97,75.74,19.07,117256,0.30068397352800713,0.1448242508303829,0.8595092184073435,0.07634141288585042,0.13911332090325254,0.12046819970996478,1551140685,1122060753,0.7233778108270044,0.1621315192743764,0.47583918946578424,117256,81999,31214,73,997,51,111,12
Levice,2012,51974,0.4678108284911687,2033,2016,349,100,74.02,18.9,114552,0.31047908373489774,0.1448242508303829,0.8595092184073435,0.07634141288585042,0.13911332090325254,0.12046819970996478,1551139667,1120564761,0.722413838572797,0.17166748647319233,0.45371534325022694,114552,78986,27715,41,597,34,70,7
Levice,2016,52408,0.29676766905815904,2759,2749,351,82,72.59,19.1,112320,0.30129095441595444,0.1448242508303829,0.8595092184073435,0.07634141288585042,0.13911332090325254,0.12046819970996478,1551107136,1113709277,0.718009253617411,0.12722000724900326,0.4665954415954416,112320,78479,26690,64,694,67,95,14
Levoča,2002,14972,0.4062249532460593,152,146,5,12,89.62,33.93,32008,0.08772806798300425,0.15304736317807227,0.9473272803800132,0.17388651616839537,0.11165344722391703,0.10006101281269067,357224471,207125643,0.5798193007891668,0.03289473684210526,0.4677580604848788,32008,29200,18,15,82,9,11,0
Levoča,2010,13063,0.47324504325193295,279,277,10,8,92.38,27.41,33063,0.08831624474488098,0.15304736317807227,0.9473272803800132,0.17388651616839537,0.11165344722391703,0.10006101281269067,357331377,204734780,0.5729549465229302,0.035842293906810034,0.39509421407615763,33063,30143,10,18,127,12,22,3
Levoča,2012,13726,0.5912866093545097,329,326,11,6,79.19,27.07,33372,0.1476687043030085,0.15304736317807227,0.9473272803800132,0.17388651616839537,0.11165344722391703,0.10006101281269067,421000814,207074882,0.491863376777224,0.03343465045592705,0.411302888649167,33372,28444,19,12,76,8,12,1
Levoča,2016,13871,0.3682503063946363,434,428,16,4,79.51,26.2,33553,0.13575537209787503,0.15304736317807227,0.9473272803800132,0.17388651616839537,0.11165344722391703,0.10006101281269067,421001569,205795217,0.488822921702698,0.03686635944700461,0.4134056567222007,33553,28998,28,19,114,10,21,2
Liptovský Mikuláš,2002,42369,0.5275555240860063,624,607,31,49,55.3,23.68,73758,0.04625938881206104,0.19012345679012346,0.7881779503490438,0.06325813399841287,0.1161999773268337,0.11529305067452669,1334728662,442109810,0.33123572047784494,0.049679487179487176,0.5744326039209307,73758,70346,139,22,1035,23,40,0
Liptovský Mikuláš,2010,36314,0.499697086523104,1481,1471,98,54,54.61,19.29,73253,0.050182245095763967,0.19012345679012346,0.7881779503490438,0.06325813399841287,0.1161999773268337,0.11529305067452669,1341080809,440075673,0.3281500041210417,0.0661715057393653,0.49573396311413864,73253,69577,141,31,1121,42,71,4
Liptovský Mikuláš,2012,36669,0.6717118001581718,1701,1687,129,54,54.14,19.36,72592,0.0914976856953934,0.19012345679012346,0.7881779503490438,0.06325813399841287,0.1161999773268337,0.11529305067452669,1341024623,438000165,0.32661604976361425,0.07583774250440917,0.5051383072514878,72592,65950,99,24,707,36,50,4
Liptovský Mikuláš,2016,40480,0.4013092885375494,2490,2479,123,64,54.03,19.93,72452,0.08398663943024343,0.19012345679012346,0.7881779503490438,0.06325813399841287,0.1161999773268337,0.11529305067452669,1341035937,435777422,0.3249558121275015,0.04939759036144578,0.5587147352730083,72452,66367,114,34,755,52,90,10
Lučenec,2002,37529,0.36369207812624904,526,515,22,40,88.78,24.61,73326,0.32459155006409735,0.12546569610821345,0.8757564018647894,0.07420387018131952,0.10726801767484383,0.1287520950784702,825739219,430202989,0.5209913482382384,0.04182509505703422,0.5118102719362846,73326,49525,20283,49,334,23,22,5
Lučenec,2010,30970,0.36206005812076203,1255,1245,146,54,88.21,22,72731,0.3286219081272085,0.12546569610821345,0.8757564018647894,0.07420387018131952,0.10726801767484383,0.1287520950784702,825585168,423704038,0.5132166303646579,0.11633466135458168,0.4258156769465565,72731,48830,20192,64,362,42,26,16
Lučenec,2012,29088,0.4948776127612761,1413,1402,204,54,90.56,22.28,74681,0.39566958128573537,0.12546569610821345,0.8757564018647894,0.07420387018131952,0.10726801767484383,0.1287520950784702,825553752,422616703,0.5119190627819956,0.14437367303609341,0.3894966591234718,74681,45132,17295,48,237,31,27,18
Lučenec,2016,28438,0.31099233420071737,1819,1813,194,54,89.73,22.17,74045,0.38157876966709436,0.12546569610821345,0.8757564018647894,0.07420387018131952,0.10726801767484383,0.1287520950784702,825553363,417594664,0.505836064288433,0.10665200659703133,0.3840637450199203,74045,45791,17290,65,304,52,41,28
Malacky,2002,31256,0.4649667263885334,538,532,67,60,68.15,23.86,64966,0.030708370532278373,0.17004403050413025,0.8238690334837331,0.02673358598791355,0.1155382566833965,0.15702140735429684,949609811,342320148,0.36048505821513677,0.12453531598513011,0.4811131976726288,64966,62971,195,17,727,15,25,4
Malacky,2010,30580,0.4183453237410072,1744,1736,232,97,73.25,20.74,69936,0.037234042553191515,0.17004403050413025,0.8238690334837331,0.02673358598791355,0.1155382566833965,0.15702140735429684,949460624,339336905,0.35739966084154323,0.13302752293577982,0.437256920613132,69936,67332,236,42,835,69,51,38
Malacky,2012,31204,0.6216510703755929,2026,2020,263,82,71.77,21.82,68517,0.051680604813403974,0.17004403050413025,0.8238690334837331,0.02673358598791355,0.1155382566833965,0.15702140735429684,949578041,334861408,0.35264232484499924,0.12981243830207306,0.4554198228176949,68517,64976,332,41,545,37,37,13
Malacky,2016,35014,0.3815616610498658,2610,2603,292,69,75.33,24.52,72098,0.051984798468750815,0.17004403050413025,0.8238690334837331,0.02673358598791355,0.1155382566833965,0.15702140735429684,949564923,331598032,0.3492104899498273,0.11187739463601533,0.4856445393769591,72098,68350,403,95,676,90,61,44
Martin,2002,54533,0.48134157299249997,1151,1144,54,93,133.05,23.76,97912,0.039280169948525234,0.1991344759955658,0.7609617959015549,0.03293856402664693,0.1207438934122872,0.11621021465581051,735651159,252572125,0.3433313764411537,0.04691572545612511,0.5569593104011765,97912,94066,197,29,1256,68,62,1
Martin,2010,47260,0.5072577232331782,2090,2084,116,95,132.62,18.99,97640,0.04479721425645222,0.1991344759955658,0.7609617959015549,0.03293856402664693,0.1207438934122872,0.11621021465581051,735651159,244514052,0.3323777159984057,0.05550239234449761,0.4840229414174519,97640,93266,186,39,1280,92,98,4
Martin,2012,48901,0.6839328439091226,2291,2280,149,87,132.16,19.44,97228,0.13991854198379072,0.1991344759955658,0.7609617959015549,0.03293856402664693,0.1207438934122872,0.11621021465581051,735650345,242684375,0.32989092800602166,0.0650371017023134,0.5029518245772823,97228,83624,164,21,801,84,55,6
Martin,2016,50019,0.4069453607629101,2891,2883,149,100,131.49,20.28,96723,0.13064110914673865,0.1991344759955658,0.7609617959015549,0.03293856402664693,0.1207438934122872,0.11621021465581051,735711545,240948457,0.32750397711918466,0.051539259771705294,0.5171365652430135,96723,84087,162,30,857,126,111,10
Medzilaborce,2002,6313,0.4810708062727705,80,80,2,7,29.46,26.65,12577,0.49542816251888366,0.13670653173873046,0.9732530120481928,0.37305699481865284,0.15889464594127806,0.04835924006908463,427276155,163325187,0.3822473711410364,0.025,0.5019480003180409,12577,6346,10,605,76,0,6,0
Medzilaborce,2010,5281,0.7080098466199584,116,114,7,6,28.2,21.88,12052,0.5000829737802854,0.13670653173873046,0.9732530120481928,0.37305699481865284,0.15889464594127806,0.04835924006908463,427252072,162211352,0.37966194345337195,0.0603448275862069,0.43818453368735477,12052,6025,16,486,89,2,14,0
Medzilaborce,2012,5245,0.7843660629170639,135,134,9,5,28.94,21.63,12319,0.6242389804367238,0.13670653173873046,0.9732530120481928,0.37305699481865284,0.15889464594127806,0.04835924006908463,427252072,162168622,0.37956193223563817,0.06666666666666667,0.4257650783342804,12319,4629,14,312,49,3,8,0
Medzilaborce,2016,4955,0.2542885973763875,143,142,10,4,28.38,21.1,12119,0.5765327172208928,0.13670653173873046,0.9732530120481928,0.37305699481865284,0.15889464594127806,0.04835924006908463,427252072,157615084,0.36890420042246164,0.06993006993006994,0.4088621173364139,12119,5132,13,337,59,6,18,0
Michalovce,2002,51147,0.4491172502786087,680,676,35,48,107.21,28.86,109192,0.18785258993332843,0.14169738297088094,0.9402302376355534,0.06295307134681419,0.0897876128704057,0.1004705583110772,1018585687,726954559,0.7136901374896307,0.051470588235294115,0.46841343688182285,109192,88680,12828,438,585,15,41,0
Michalovce,2010,40588,0.5021434906869026,1335,1330,114,60,108.07,24.85,110166,0.21777136321551116,0.14169738297088094,0.9402302376355534,0.06295307134681419,0.0897876128704057,0.1004705583110772,1019256521,727534064,0.7137889716773271,0.0853932584269663,0.3684258301109235,110166,86175,13224,497,664,33,75,4
Michalovce,2012,43447,0.6233341772734596,1508,1502,128,59,108.8,24.83,110899,0.2533115717905482,0.14169738297088094,0.9402302376355534,0.06295307134681419,0.0897876128704057,0.1004705583110772,1019242961,727108791,0.7133812239297869,0.08488063660477453,0.3917708906302131,110899,82807,12145,388,373,33,69,2
Michalovce,2016,41653,0.29265599116510216,2178,2176,143,60,108.66,24.23,110791,0.2516449892139253,0.14169738297088094,0.9402302376355534,0.06295307134681419,0.0897876128704057,0.1004705583110772,1019236154,724540838,0.710866500522508,0.06565656565656566,0.3759601411667013,110791,82911,12264,518,444,60,99,5
Myjava,2002,15097,0.6177386235675962,201,192,23,21,88.83,21.59,28967,0.03497082887423619,0.1458423688049521,0.779811848461734,0.05078651685393258,0.2157303370786517,0.07775280898876405,327445777,190325591,0.5812430770789876,0.11442786069651742,0.5211792729657887,28967,27954,14,40,373,9,5,-1
Myjava,2010,12826,0.5605021050990177,444,432,53,27,84.88,16.52,27726,0.04122484310755248,0.1458423688049521,0.779811848461734,0.05078651685393258,0.2157303370786517,0.07775280898876405,327442100,189482017,0.5786733501892396,0.11936936936936937,0.4625982831998846,27726,26583,21,53,413,17,10,1
Myjava,2012,13154,0.6996350919872282,466,454,59,27,83.7,17.19,27353,0.08715680181332941,0.1458423688049521,0.779811848461734,0.05078651685393258,0.2157303370786517,0.07775280898876405,327438912,188982794,0.5771543548251223,0.12660944206008584,0.48089789054217086,27353,24969,23,38,255,8,7,0
Myjava,2016,13100,0.3706106870229008,590,579,42,18,82.14,17.91,26829,0.08214991240821501,0.1458423688049521,0.779811848461734,0.05078651685393258,0.2157303370786517,0.07775280898876405,327421905,188538349,0.5758269258130424,0.0711864406779661,0.48827761004882775,26829,24625,37,45,277,13,8,1
Námestovo,2002,24485,0.5058198897284052,234,218,12,11,81.7,43.82,56658,0.006936354971936898,0.12902160061671097,0.987117903930131,0.07053941908713693,0.1683091286307054,0.07131742738589211,690509920,307456074,0.44525945984961374,0.05128205128205128,0.43215432948568605,56658,56265,14,13,140,2,69,1
Námestovo,2010,22765,0.5116187129365254,514,508,27,9,86.34,33.08,59754,0.008568464035880408,0.12902160061671097,0.987117903930131,0.07053941908713693,0.1683091286307054,0.07131742738589211,690455235,307107526,0.44478991603271717,0.05252918287937743,0.38097867925159823,59754,59242,15,20,184,7,93,3
Námestovo,2012,25604,0.6782143415091392,618,614,36,8,87,32.38,60248,0.027054839994688606,0.12902160061671097,0.987117903930131,0.07053941908713693,0.1683091286307054,0.07131742738589211,690455235,306616006,0.44407803787598193,0.05825242718446602,0.424976762714115,60248,58618,14,15,114,6,92,1
Námestovo,2016,28396,0.37434849978870266,1097,1094,47,12,89.11,30.78,61746,0.024681760761830707,0.12902160061671097,0.987117903930131,0.07053941908713693,0.1683091286307054,0.07131742738589211,690455235,299740121,0.43411955736710434,0.04284412032816773,0.4598840410714864,61746,60222,14,20,154,14,146,1
